Model_ID,Epoch,learning_rate,Acc_train,Acc_val,Loss_train,Loss_val
100_nodes_in_hidden_layer,1,5e-05,0.20121095,0.34008949995040894,2.9037992022840045,2.836081406040297
100_nodes_in_hidden_layer,2,5e-05,0.5295718,0.6204264163970947,2.7454111599512125,2.67708200120587
100_nodes_in_hidden_layer,3,5e-05,0.6791857,0.6793892979621887,2.5649930607356204,2.492555765956287
100_nodes_in_hidden_layer,4,5e-05,0.71068794,0.694656491279602,2.3606408397203245,2.288193349619858
100_nodes_in_hidden_layer,5,5e-05,0.7224465,0.7022900581359863,2.140977307761833,2.0762077736584694
100_nodes_in_hidden_layer,6,5e-05,0.72893995,0.7143985033035278,1.922582483576155,1.8728629056326054
100_nodes_in_hidden_layer,7,5e-05,0.738066,0.7217689156532288,1.7205117285230696,1.6897140836113218
100_nodes_in_hidden_layer,8,5e-05,0.7487715,0.7325611710548401,1.5439023174457944,1.532203036441587
100_nodes_in_hidden_layer,9,5e-05,0.75798523,0.7404580116271973,1.3948996128137172,1.3998348664911084
100_nodes_in_hidden_layer,10,5e-05,0.76456654,0.7459858059883118,1.2714843442876032,1.290282645674874
100_nodes_in_hidden_layer,11,5e-05,0.7707968,0.7517767548561096,1.1700013148320185,1.2000529532935877
100_nodes_in_hidden_layer,12,5e-05,0.7743945,0.756514847278595,1.0865420206005676,1.1256473051243376
100_nodes_in_hidden_layer,13,5e-05,0.7796595,0.7612529397010803,1.017947221584762,1.0645785661677556
100_nodes_in_hidden_layer,14,5e-05,0.78246754,0.763621985912323,0.9614049053874172,1.0142898816408437
100_nodes_in_hidden_layer,15,5e-05,0.7851878,0.7665175199508667,0.9149154728025501,0.9731619504132564
100_nodes_in_hidden_layer,16,5e-05,0.78808355,0.7680968642234802,0.8768543710035791,0.9395353627160964
100_nodes_in_hidden_layer,17,5e-05,0.78948754,0.767570436000824,0.8454639540299402,0.9121112426226626
100_nodes_in_hidden_layer,18,5e-05,0.79097927,0.7694129943847656,0.8194860814118979,0.8892250087236724
100_nodes_in_hidden_layer,19,5e-05,0.7915058,0.770729124546051,0.7980969424319292,0.8707197481282418
100_nodes_in_hidden_layer,20,5e-05,0.79194456,0.7720452547073364,0.7802879935651547,0.8552425471096485
