epoch,accuracy,loss,val_accuracy,val_loss
0,0.26869076,2.9081744597057746,0.31324031949043274,2.849375319436965
1,0.37460512,2.7491041501809437,0.3893129825592041,2.670980804058777
2,0.4309407,2.5267412706022307,0.45038166642189026,2.431699708249262
3,0.5137768,2.2569300874821887,0.5509344339370728,2.168811751466326
4,0.6088101,1.9874982207898468,0.6201632022857666,1.9207340342711698
5,0.6506669,1.7449847969853196,0.6530665755271912,1.7000690235154006
6,0.67637765,1.5339246961935733,0.6728086471557617,1.5102112619272499
7,0.70542294,1.3562765235271568,0.7057120203971863,1.3520560721153647
8,0.73218673,1.2128020045045134,0.7254540920257568,1.2265429142181044
9,0.749649,1.1002562500460602,0.7354567050933838,1.1282523650971172
10,0.7603545,1.0130950038832252,0.7449328899383545,1.0533162495373865
11,0.766146,0.9460551893660879,0.7491444945335388,0.9953288235109585
12,0.77272725,0.8948575700111832,0.7586206793785095,0.9518310656105728
13,0.7793963,0.8554265891597663,0.7596735954284668,0.9185319413759734
14,0.7832573,0.82491866748933,0.7612529397010803,0.892491417594507
15,0.78474903,0.800904300682333,0.7652013897895813,0.8732268735589903
16,0.788259,0.7820364723878394,0.7680968642234802,0.8569893564918099
17,0.7902773,0.7666818500088156,0.7688865661621094,0.8441815651790441
18,0.79159355,0.7544143744814643,0.7691497802734375,0.8347247992731703
19,0.7923833,0.7442135393786907,0.7702026963233948,0.8256949499488724
